type,text
ham,"Babe, I'm back ... Come back to me ..."
ham,S:)no competition for him.
ham,Yup having my lunch buffet now.. U eat already?
ham,"Storming msg: Wen u lift d phne, u say HELLO Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? Margaret Hello She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
ham,5 nights...We nt staying at port step liao...Too ex
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham,K.k:)when are you going?
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,Going on nothing great.bye
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,Yavnt tried yet and never played original either
ham,Pathaya enketa maraikara pa'
ham,"That's the trouble with classes that go well - you're due a dodgey one ... Expecting mine tomo! See you for recovery, same time, same place "
ham,i am going to bed now prin
ham,Are you free now?can i call now?
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just Â£1.50 per wk 2 opt out send STOP 08452810071 16
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham,Ok no prob. Take ur time.
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
ham,Im just wondering what your doing right now?
ham,Mm you ask him to come its enough :-)
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,I thk u gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,We can go 4 e normal pilates after our intro...  
ham,do u think that any girl will propose u today by seing ur bloody face
ham,What Today-sunday..sunday is holiday..so no work..
ham,"Not much, just some textin'. How bout you?"
ham,Hope you are not scared!
spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Yup i'm elaborating on the safety aspects and some other issues..
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,Whens your radio show?
ham,If you hear a loud scream in about # minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play Â£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
ham,"Actually nvm, got hella cash, we still on for  # ish?"
ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
ham,"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt..."
ham,The new deus ex game comin early next yr
ham,"The  # g that i saw a few days ago, the guy wants sell wifi only for  #  and with 3g for  # . That's why i blanked him."
ham,Hey company elama po mudyadhu.
ham,u v ma fan...
ham,Well i will watch shrek in 3D!!B)
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,Networking job is there.
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Oh ho. Is this the first time u use these type of words
ham,2 and half years i missed your friendship:-)
